Company Name,ISIN,LEI,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Organization Type,BA1.5,BA1.5 Date,Location,Region,Sector,Date,Target,Target Classification,Extension
HB Reavis Holding S.A.,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,No,,Luxembourg,Europe,Real Estate,01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HB Reavis Holding S.A. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions. HB Reavis Holding S.A. commits to reach net-zero by 2050. As part of this, HB Reavis Holding S.A. commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HCL Technologies,INE860A01027,549300C1F8OLYSOQYB65,Targets Set,1.5°C,2030,,,,No,,Company,No,,India,Asia,Software and Services,01/05/2022,HCL Technologies commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2020 base year. HCL Technologies also commits to reduce absolute scope 3 GHG emissions 42% within the same timeframe,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HD Tools Kft.,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Hungary,Europe,Electrical Equipment and Machinery,01/09/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HD Tools Kft. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HeadFirst Group,,,Targets Set,Well-below 2°C,2030,,,,No,,Small or Medium Enterprise,No,,Netherlands,Europe,Professional Services,01/08/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HeadFirst Group commits to reduce scope 1 and scope 2 GHG emissions 23% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to .,
Headlam Group Plc,,,Committed,,,,,,Yes,,Company,No,,United Kingdom (UK),Europe,"Consumer Durables, Household and Personal Products",01/06/2023,,,
Healeys Printers Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Trading Companies and Distributors, and Commercial Services and Supplies",01/04/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Healeys Printers Limited  commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HEALTH AND HAPPINESS (H&H) INTERNATIONAL HOLDINGS LIMITED,KYG4387E1070,2138007WU5DJFZFDDV59,Targets Set,1.5°C,2031,,,,No,,Company,No,,"Hong Kong, China",Asia,Food and Beverage Processing,01/01/2024,"H&H commits to reduce absolute scope 1 GHG emissions 46.2% by 2031 from a 2022 base year. H&H also commits to continue active annual sourcing of 100% renewable electricity through 2030. H&H further commits to reduce scope 3 GHG emissions from upstream transportation and distribution 55% per million USD of value added by 2031 from a 2022 base year. H&H finally commits that 52% of its suppliers by spend, covering purchased goods and services, will have science-based targets, by 2027.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Health Management International Pte Ltd,,,Committed,,,,,,No,,Company,No,,Singapore,Asia,"Healthcare Providers and Services, and Healthcare Technology",01/11/2023,,,
Healthcare Strategy Partners,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United States of America (USA),North America,Professional Services,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/  Healthcare Strategy Partners commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"Healthpeak Properties, Inc.",US40414L1098,PZ9HF5U52KPF0MH0QN75,Targets Set,Well-below 2°C,2033,,,,No,,Company,No,,United States of America (USA),North America,Real Estate,01/12/2019,"Real estate investment trust Healthpeak Properties, Inc. commits to reduce absolute scope 1 and 2 GHG emissions 38% by 2033 from a 2018 base year. HCP also commits to reduce absolute scope 3 GHG emissions 19% by 2033 from a 2018 base year",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Heart with Smart Group,,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2040,Yes,2040,Company,Yes,01/09/2022,United Kingdom (UK),Europe,"Hotels, Restaurants and Leisure, and Tourism Services",01/11/2023,"Overall Net-Zero Target
Heart with Smart Group commits to reach net-zero GHG emissions across the value chain
by 2040.
Near-Term Targets
Heart with Smart Group commits to reduce absolute scope 1 GHG emissions 74% by 2030
from a 2019 base year. Heart with Smart Group also commits to continue active annual
sourcing of 100% renewable electricity through 2030. Heart with Smart Group further
commits to reduce scope 3 GHG emissions 55% per meal by 2030 from a 2019 base year.
Long-Term Targets
Heart with Smart Group commits to reduce absolute scope 1 and 2 GHG emissions 94% by
2040 from a 2019 base year. Heart with Smart Group also commits to reduce scope 3 GHG
emissions 97% per meal within the same timeframe.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Heathrow Airport,,549300J5R8AWMHPE7O05,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/06/2020,United Kingdom (UK),Europe,Air Transportation - Airport Services,01/03/2023,"Heathrow commits to reduce absolute scope 1, 2 and scope 3 GHG emissions from upstream transportation and distribution, waste generated in operations, business travel, employee commuting, and downstream leased assets 46.2% by 2030 from a 2019 base year.* Heathrow also commits that 67% of its suppliers by emissions covering purchased goods and services and capital goods, will set science-based targets by 2027. Heathrow further commits that 67% of customers by emissions covering use of sold products, will set science-based targets by 2027. *The target boundary includes biogenic emissions and removals from bioenergy",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Heba Fastighets AB,SE0017911480,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Sweden,Europe,Real Estate,01/01/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Heba Fastighets AB commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Hebei Chengxin Co. Ltd,,,Removed,,,,,,No,,Company,No,,China,Asia,Chemicals,01/12/2020,,,Commitment Compliance Policy transitory grace period. Targets to be submitted by July 31 2023.
"Hefei BOE Optoelectronics Technology Co.,Ltd.",,,Committed,,,,,,No,,Company,No,,China,Asia,Semiconductors and Semiconductors Equipment,01/11/2023,,,
Hegelmann Express GmbH,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Ground Transportation - Trucking Transportation,01/01/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Hegelmann Express GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Heidelberg Materials,DE0006047004,LZ2C6E0W5W7LQMX5ZI37,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/07/2021,Germany,Europe,Construction Materials,01/03/2023,Heidelberg Materials commits to reduce gross scope 1 and 2 GHG emissions by 26.7% per ton of cementitious material by 2030 from a 2020 base year*. Within this target Heidelberg Materials commits to reduce gross scope 1 GHG emissions by 24% per ton of cementitious material and scope 2 GHG emissions 65% per ton cementitious material within the same timeframe*. Heidelberg Materials also commits to reduce absolute scope 3 GHG emissions from purchased goods and services 25% within the same timeframe. *The target boundary includes land-related emissions and removals from bioenergy feedstocks.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Heidrick & Struggles Inc.,,,Committed,,,,,,No,,Company,No,,United States of America (USA),North America,Professional Services,01/01/2024,,,
Heimstaden Bostad AB,SE0015949037,549300TJR3PR8EXILG79,Targets Set,1.5°C,2030,,,,No,,Company,No,,Sweden,Europe,Real Estate,01/12/2022,"Heimstaden Bostad AB commits to reduce absolute scope 1, 2, and 3 GHG emissions covering downstream leased assets 42 % by 2030 from a 2020 base year*. Heimstaden Bostad AB also commits that 27 % of its suppliers by spend covering purchased goods and services, will have science-based targets by 2027. *The target boundary includes biogenic land-related emissions and removals from bioenergy feedstocks.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HEINEKEN N.V.,NL0000009165,724500K5PTPSST86UQ23,Targets Set,1.5°C,2030,Targets Set,1.5°C,2040,Yes,2040,Company,Yes,01/03/2021,Netherlands,Europe,Food and Beverage Processing,01/09/2023,"Overall Net-Zero Target
Heineken N.V. commits to reach net-zero GHG emissions across the value chain by 2040.
Near-Term Targets
Energy/industrial
Heineken N.V. commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2030 from a 2022 base year*. Heineken N.V.
also commits to increase annual active sourcing of renewable electricity from 58% in 2022 to 100% by 2030. Heineken N.V.
further commits to reduce absolute scope 3 GHG emissions from purchased goods and services, fuel and energy related
activities, upstream transportation and distribution, waste generated in operations, business travel, employee commuting,
upstream leased assets, use of sold products and end-of-life treatment of sold products 25% within the same timeframe.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.
FLAG
Heineken N.V. commits to reduce absolute scope 3 FLAG GHG emissions 30.3% by 2030 from a 2022 base year. HEINEKEN
N.V. also commits to no deforestation across its primary deforestation-linked commodities, with a target date of 2025.
*The target includes FLAG emissions and removals.
Long-Term Targets
Energy/industrial
Heineken N.V. commits to maintain at least 90% absolute scope 1 and 2 GHG emissions reductions from 2030 through 2040
from a 2022 base year*. Heineken N.V. also commits to reduce absolute scope 3 GHG emissions from purchased goods and
services, fuel and energy related activities, upstream transportation and distribution, waste generated in operations, business
travel, employee commuting, upstream leased assets, use of sold products and end-of-life treatment of sold products 90% by
2040 from a 2022 base year.
*The target boundary includes biogenic emissions and removals from bioenergy feedstocks.
FLAG
Heineken N.V. commits to reduce absolute scope 3 FLAG GHG emissions 80% by 2040 from a 2022 base year*.
*The target includes FLAG emissions and removals.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Heinz Glas Dzialdowo Sp Z.o.o.c,,259400HT3WUGHRAG7667,Targets Set,Well-below 2°C,2030,,,,No,,Company,No,,Poland,Europe,Containers and Packaging,01/11/2022,HEINZ-GLAS Poland commits to reduce absolute scope 1 and 2 GHG emissions 29.8% by 2030 from a 2019 base year. HEINZ-GLAS Poland commits to increase annual sourcing of renewable electricity from 83% in 2019 to 100% by 2030. HEINZ-GLAS Poland also commits to reduce its absolute scope 3 GHG emissions 27.5% by 2030 from a 2019 base year,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Heinzel Holding GmbH,,5299006FIW436B9V0W80,Committed,,,,,,Yes,,Company,Yes,01/09/2021,Austria,Europe,"Forest and Paper Products - Forestry, Timber, Pulp and Paper, Rubber",01/09/2021,,,
"HEISEI INDUSTRY CO., LTD",,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Japan,Asia,Automobiles and Components,01/07/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HEISEI INDUSTRY CO.,LTD. commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2020 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"Heiwa Real Estate Co., Ltd.",,3538003GH25628YW4R98,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Japan,Asia,Real Estate,01/05/2022,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Heiwa Real Estate Co., Ltd. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"HEIWA REAL ESTATE REIT, Inc.",,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Japan,Asia,Real Estate,01/02/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HEIWA REAL ESTATE REIT, Inc. commits to reduce scope 1 and scope 2 GHG emissions 50% by 2030 from a 2018 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Hela Clothing,,,Removed,,,,,,Yes,,Company,Yes,01/10/2021,Sri Lanka,Asia,"Textiles, Apparel, Footwear and Luxury Goods",01/10/2021,,,
Helen Ltd,,,Targets Set,1.5°C,2030,,,,No,,Company,No,,Finland,Europe,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",01/11/2022,Helen Ltd commits to reduce scope 1 and 2 GHG emissions 77% per MWh electricity and heat generated by 2030 from a 2019 base year.* Helen Ltd also commits to reduce scope 1 and 3 GHG emissions per sold electricity and heat 77% per MWh within the same timeframe.* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Helen of Troy Limited,BMG4388N1065,,Targets Set,1.5°C,"2030, 2025",,,,No,,Company,Yes,01/02/2021,Bermuda,North America,"Consumer Durables, Household and Personal Products",01/10/2021,Helen of Troy Limited commits to reduce absolute scope 1 and 2 GHG emissions 46.2% by FY2030 from a FY2020 base year. Helen of Troy Limited also commits to reduce absolute scope 3 GHG emissions 42% by FY2030 from a FY2021 base year.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Helios Global Group Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Pharmaceuticals, Biotechnology and Life",01/07/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Helios Global Group Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Helitrans As,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Norway,Europe,Air Transportation - Airlines,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Helitrans As commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",,
Hellenic Cables,GRS260333000,ELPUFM0XZRZO4LFXW404,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Company,Yes,01/11/2021,Greece,Europe,Electrical Equipment and Machinery,01/04/2022,"Overall Net-Zero Target
Hellenic Cables commits to reach net-zero GHG emissions across the value chain by 2050 from a 2020 base year.
Near-Term Targets
Hellenic Cables commits to reduce absolute scope 1 and 2 GHG emissions 50% by 2030 from a 2020 base year. Hellenic Cables also commits to increase annual sourcing of renewable electricity from 24% in 2020 to 80% by 2025 and 100% by 2030. Hellenic Cables further commits to reduce absolute scope 3 GHG emissions from purchased goods and services, employee commuting and use of sold products 25% by 2030 from a 2020 base year.
Long-Term Targets
Hellenic Cables commits to reduce absolute scopes 1, 2 and 3 GHG emissions 90% by 2050  from a 2020 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HelloFresh SE,DE000A161408,391200ZAF4V6XD2M9G57,Committed,,,,,,No,,Company,No,,Germany,Europe,Food and Staples Retailing,01/01/2023,,,
Helmut Brüninghaus Kronenkorken GmbH & Co.KG,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Containers and Packaging,01/06/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Helmut Brüninghaus Kronenkorken GmbH & Co.KG commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HELP Forsikring AS,,,Committed,,,,,,Yes,,Company,No,,Norway,Europe,Professional Services,01/07/2023,,,
HEM Denmark A/S,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Denmark,Europe,Building Products,01/02/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ HEM Denmark A/S commits to reduce scope 1 and scope 2 GHG emissions 46% by 2030 from a 2019 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HEMA B.V.,,724500Y2C2W9YWLRDC69,Committed,,,,,,Yes,,Company,No,,Netherlands,Europe,Retailing,01/06/2023,,,
Hemmersbach Holding GmbH,,,Committed,,,,,,Yes,,Company,No,,Germany,Europe,Software and Services,01/08/2023,,,
Hemnet AB,SE0015671995,,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Small or Medium Enterprise,No,,Sweden,Europe,Software and Services,01/01/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Hemnet AB commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.  Hemnet AB commits to reach net-zero by 2050. As part of this, Hemnet AB commits to reduce scope 1+2+3 emissions 90% by 2050 from a 2021 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Hempel A/S,,213800IH11IDUT6WSM06,Targets Set,1.5°C,2026,,,,No,,Company,Yes,01/09/2020,Denmark,Europe,Chemicals,01/04/2022,Hempel A/S commits to reduce absolute scope 1 and 2 GHG emissions 90% by 2026 from a 2019 base year. Hempel A/S also commits to reduce absolute scope 3 GHG emissions 50% by 2030 from a 2019 base year.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Hemsö Fastighets AB,,549300VOTS5OZ82UTG69,Targets Set,1.5°C,2030,Targets Set,1.5°C,2040,Yes,2040,Small or Medium Enterprise,No,,Sweden,Europe,Real Estate,01/10/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Hemsö Fastighets AB commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions. Hemsö Fastighets AB commits to reach net-zero by 2040. As part of this, Hemsö Fastighets AB commits to reduce scope 1+2+3 emissions 100% by 2040 from a 2022 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
"Henan Hengfeng Top Leisure Co.,LTD",,,Committed,,,,,,No,,Company,No,,China,Asia,"Consumer Durables, Household and Personal Products",01/07/2022,,,
"Henan Zhongfu High Precision Aluminium Products Co.,Ltd",,,Committed,,,,,,Yes,,Company,No,,China,Asia,"Mining - Iron, Aluminum, Other Metals",01/07/2023,,,
Henderson Land Development Company Limited,,,Committed,,,,,,No,,Company,No,,"Hong Kong, China",Asia,Real Estate,01/10/2022,,,
"Hengdian Group DMEGC Magnetics Co.,Ltd.",,,Committed,,,,,,Yes,,Company,No,,China,Asia,Electrical Equipment and Machinery,01/12/2023,,,
"Hengtong Submarine Power Cable Co., Ltd.",,,Committed,,,,,,Yes,,Company,No,,China,Asia,Electrical Equipment and Machinery,01/06/2023,,,
Henkel AG & Co. KGaA,DE0006048432,549300VZCL1HTH4O4Y49,Targets Set,1.5°C,2030,,,,Yes,,Company,Yes,01/11/2019,Germany,Europe,"Consumer Durables, Household and Personal Products",01/03/2020,"Henkel commits to reduce scope 1 and 2 GHG emissions 67% per ton of product by 2030 from a 2017 base year. Henkel also commits to increase annual sourcing of renewable electricity from 6% in 2017 to 100% by 2030. Furthermore, Henkel commits to reduce scope 3 GHG emissions from purchased goods and services 30% per ton of product by 2030 from a 2017 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C. The renewable energy procurement target covering scope 2 emissions is consistent with reductions required to keep warming to 1.5°C.,
Henri Hutin,,,Removed,,,,,,No,,Company,No,,France,Europe,Food and Beverage Processing,01/12/2020,,,Commitment Compliance Policy transitory grace period. Targets to be submitted by July 31 2023.
"Henry Schein, Inc.",US8064071025,VGO3WGL8H45T73F4RR92,Removed,,,,,,Yes,,Company,Yes,01/09/2021,United States of America (USA),North America,"Healthcare Providers and Services, and Healthcare Technology",01/10/2021,,,
Hentley Farm Pty Ltd,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Australia,Oceania,Food and Beverage Processing,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Hentley Farm Pty Ltd commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HEPPNER,,,Committed,,,,,,Yes,,Company,Yes,01/10/2022,France,Europe,Ground Transportation - Trucking Transportation,01/10/2022,,,
Hera,IT0001250932,8156009414FD99443B48,Targets Set,Well-below 2°C,"2030, 2023",,,,No,,Company,No,,Italy,Europe,Solid Waste Management Utilities,01/04/2021,Hera Group commits to reduce absolute scope 1 and 2 GHG emissions 28% by 2030 from a 2019 base year. Hera Group commits to increase annual sourcing of renewable electricity from 83% in 2019 to 100% by 2023. Hera Group commits to reduce absolute scope 3 GHG emissions from the use of sold products 30% by 2030 from a 2019 base year. Hera Group also commits to reduce scope 3 GHG emissions for all sold electricity 50% per MWh over the same timeframe.* *The target boundary includes biogenic emissions and removals from bioenergy feedstocks and biodegradable sources from municipal solid waste.,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C.,
Heraeus Precious Metals,,,Committed,,,,,,Yes,,Company,Yes,01/11/2021,Germany,Europe,Chemicals,01/11/2021,,,
Herbert Smith Freehills,,213800FSCPQI7CR92461,Targets Set,1.5°C,"2030, 2025",,,,No,,Company,Yes,01/06/2021,United Kingdom (UK),Europe,Professional Services,01/04/2021,"Herbert Smith Freehills commits to reduce absolute scope 1, scope 2 and scope 3 business travel GHG emissions 46% by 2030 from a 2019 base year. Herbert Smith Freehills also commits that 55% of its suppliers by spend covering purchased goods and services and capital goods will have science-based targets by 2025.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
Herd Mundy Richardson Limited,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,United Kingdom (UK),Europe,"Pharmaceuticals, Biotechnology and Life",01/02/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Herd Mundy Richardson Limited commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HERE Technologies,,724500QG78LX5ROCB636,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,Company,No,,Netherlands,Europe,Technology Hardware and Equipment,01/09/2023,"Overall Net-Zero Target
HERE Technologies commits to reach net-zero GHG emissions across the value chain by 2050.
Near-Term Targets
HERE Technologies commits to reduce absolute scope 1 and 2 GHG emissions 65% by 2030 from a 2019 base year. HERE Technologies also commits to reduce absolute scope 3 GHG emissions 36% within the same timeframe.
Long-Term Targets
HERE Technologies commits to reduce absolute scope 1, 2 and 3 GHG emissions 90% by 2050 from a 2019 base year.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HERIGE,FR0000066540,969500M6PGRQS475JN03,Targets Set,1.5°C,2030,,,,No,,Company,No,,France,Europe,Construction Materials,01/09/2023,"HERIGE Group commits to reduce absolute scopes 1 and 2 GHG emissions
of 42% by 2030 from a 2020 base year. HERIGE Group also commits that
82.5% of its suppliers by emissions covering purchased goods and services
will have science-based targets by 2027.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
heristo aktiengesellschaft,,529900PLTWIHKHEETI07,Committed,,,,,,Yes,,Company,Yes,01/01/2023,Germany,Europe,Food Production - Animal Source Food Production,01/01/2023,,,
Herkkumaa Oy,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Finland,Europe,Food and Beverage Processing,01/02/2024,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Herkkumaa Oy commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2021 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
HERMA GmbH,,529900HG76XDYJXH3H66,Committed,,,,,,No,,Company,No,,Germany,Europe,Containers and Packaging,01/05/2023,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to .,
Hermann Bantleon GmbH,,,Targets Set,1.5°C,2030,,,,No,,Small or Medium Enterprise,No,,Germany,Europe,Chemicals,01/11/2023,"This target was approved using a streamlined target validation route exclusive to small and medium-sized enterprises (SMEs). https://sciencebasedtargets.org/faqs-for-smes/ Hermann Bantleon GmbH commits to reduce scope 1 and scope 2 GHG emissions 42% by 2030 from a 2022 base year, and to measure and reduce its scope 3 emissions.",The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C.,
